Symbol,Name,Sector,Industry
A,Agilent Technologies Inc.,Capital Goods,Electrical Products
AA,Alcoa Corporation ,Basic Industries,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,Finance,Business Services
AACG,ATA Creativity Global American Depositary Shares,Miscellaneous,Service to the Health Industry
AACQ,Artius Acquisition Inc. Class A,Basic Industries,Major Chemicals
AACQU,Artius Acquisition Inc. Unit ,Basic Industries,Major Chemicals
AACQW,Artius Acquisition Inc Warrant,Basic Industries,Major Chemicals
AAIC,Arlington Asset Investment Corp Class A (new),Consumer Services,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock ,,
AAL,American Airlines Group Inc.,Transportation,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,Finance,Investment Managers
AAME,Atlantic American Corporation,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. ,Miscellaneous,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc.,Technology,Semiconductors
AAON,AAON Inc.,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,Consumer Services,Other Specialty Stores
AAPL,Apple Inc.,Technology,Computer Manufacturing
AAQC,Accelerate Acquisition Corp. Class A,,
AAT,American Assets Trust Inc.,Consumer Services,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd. Common Shares,Basic Industries,Precious Metals
AAWW,Atlas Air Worldwide Holdings NEW,Transportation,Transportation Services
AB,AllianceBernstein Holding L.P. Units,Finance,Investment Managers
ABB,ABB Ltd,Consumer Durables,Electrical Products
ABBV,AbbVie Inc.,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,,
ABCM,Abcam plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Consumer Non-Durables,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc,Consumer Services,Other Specialty Stores
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,Finance,Business Services
ABIO,ARCA biopharma Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated,Technology,Diversified Commercial Services
ABMD,ABIOMED Inc.,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A,Finance,Diversified Commercial Services
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts
ABR^A,Arbor Realty Trust Preferred Series A,,
ABR^B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,,
ABR^C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,,
ABST,Absolute Software Corporation,,
ABT,Abbott Laboratories,Health Care,Medical/Dental Instruments
ABTX,Allegiance Bancshares Inc.,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation,,
AC,Associated Capital Group Inc.,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. ,Capital Goods,Engineering & Construction
ACAC,Acies Acquisition Corp. Class A Ordinary Share,Finance,Business Services
ACACU,Acies Acquisition Corp. Unit,Finance,Business Services
ACACW,Acies Acquisition Corp. Warrant,Finance,Business Services
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ACAH,Atlantic Coastal Acquisition Corp. Class A,,
ACAHU,Atlantic Coastal Acquisition Corp. Unit,,
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,,
ACB,Aurora Cannabis Inc. Common Shares,Consumer Durables,Specialty Chemicals
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Miscellaneous,Business Services
ACBAU,Ace Global Business Acquisition Limited Unit,Miscellaneous,Business Services
ACBAW,Ace Global Business Acquisition Limited Warrant,Miscellaneous,Business Services
ACBI,Atlantic Capital Bancshares Inc.,Finance,Major Banks
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts
ACCD,Accolade Inc.,,
ACCO,Acco Brands Corporation,Consumer Services,Advertising
ACEL,Accel Entertainment Inc. ,Consumer Services,Recreational Products/Toys
ACER,Acer Therapeutics Inc. (DE),Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. ,Health Care,Major Pharmaceuticals
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,Technology,Semiconductors
ACEVU,ACE Convergence Acquisition Corp. Unit,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,Technology,Semiconductors
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Finance,Property-Casualty Insurers
ACH,Aluminum Corporation of China Limited American Depositary Shares,Basic Industries,Aluminum
ACHC,Acadia Healthcare Company Inc.,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHV,Achieve Life Sciences Inc. Common Shares,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A,Consumer Services,Food Chains
ACIC,Atlas Crest Investment Corp. Class A,,
ACII,Atlas Crest Investment Corp. II Class A,,
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals
ACIW,ACI Worldwide Inc.,Technology,EDP Services
ACKIT,Ackrell SPAC Partners I Co. Subunits,,
ACKIU,Ackrell SPAC Partners I Co. Units,,
ACKIW,Ackrell SPAC Partners I Co. Warrants,Finance,Business Services
ACLS,Axcelis Technologies Inc.,Technology,Industrial Machinery/Components
ACM,AECOM,Consumer Services,Military/Government/Technical
ACMR,ACM Research Inc. Class A,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),Technology,EDP Services
ACNB,ACNB Corporation,Finance,Major Banks
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,Finance,Business Services
ACOR,Acorda Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,Aberdeen Income Credit Strategies Fund Common Shares,,
ACP^A,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,,
ACQR,Independence Holdings Corp. Class A Ordinary Share,Finance,Business Services
ACQRU,Independence Holdings Corp. Units,Finance,Business Services
ACQRW,Independence Holdings Corp. Warrant,Finance,Business Services
ACR,ACRES Commercial Realty Corp.,Consumer Services,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,,
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc.,Health Care,Major Pharmaceuticals
ACRX,AcelRx Pharmaceuticals Inc.,Consumer Durables,Specialty Chemicals
ACST,Acasti Pharma Inc. Class A,,
ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares,Finance,Business Services
ACTCU,ArcLight Clean Transition Corp. Unit,Finance,Business Services
ACTCW,ArcLight Clean Transition Corp. Warrant,Finance,Business Services
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,,
ACTDU,ArcLight Clean Transition Corp. II Unit,,
ACTDW,ArcLight Clean Transition Corp. II Warrant,Finance,Business Services
ACTG,Acacia Research Corporation (Acacia Tech),Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation.,Consumer Durables,Home Furnishings
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,,
